"voter_id","name","group","r","result","opacity","color"
"1","Zdeněk, Babinec (ODS bpp)","ODS bpp",0.1,1,0.7,"blue"
"2","Iva, Bukovjanová (ČSSD bpp)","ČSSD bpp",0.1,1,0.7,"ČSSD bpp"
"4","Tomáš, Hrnčárek (ČSSD)","ČSSD",0.1,1,0.7,"ČSSD"
"5","Radim, Hyvnar (KSČM bpp)","KSČM bpp",0.1,1,0.7,"KSČM bpp"
"7","Dagmar, Jančálková (ODS)","ODS",0.1,1,0.7,"blue"
"8","Miroslav, Kopečný (ODS)","ODS",0.1,1,0.7,"blue"
"9","Karel, Kuboš (KSČM)","KSČM",0.1,1,0.7,"KSČM"
"10","René, Lakomý (NK bpp)","NK bpp",0.1,1,0.7,"grey"
"11","Václav, Lichnovský (ANO)","ANO",0.1,1,0.7,"cyan"
"12","Božena, Mrvová (KDU bpp)","KDU bpp",0.1,1,0.7,"gold"
"22","Ladislav, Myšák (ANO bpp)","ANO bpp",0.1,1,0.7,"cyan"
"26","Luděk, Polášek (ČSSD)","ČSSD",0.1,1,0.7,"ČSSD"
"14","Lumír, Pospěch (PSZ)","PSZ",0.1,1,0.7,"steelblue"
"27","Ivana, Rašková (ČSSD bpp)","ČSSD bpp",0.1,1,0.7,"ČSSD bpp"
"15","Vladan, Rek (ANO bpp)","ANO bpp",0.1,1,0.7,"cyan"
"16","Vladan, Resner (ANO)","ANO",0.1,1,0.7,"cyan"
"17","Dagmar, Rysová (NK bpp)","NK bpp",0.1,1,0.7,"grey"
"18","Ladislav, Stehlík (PZK bpp)","PZK bpp",0.1,1,0.7,"black"
"19","Stanislav, Šimíček (KDU-ČSL)","KDU-ČSL",0.1,1,0.7,"KDU-ČSL"
"28","Xenie, Šustalová (ODS)","ODS",0.1,1,0.7,"blue"
"20","Ivan, Telařík (NEZ bpp)","NEZ bpp",0.1,1,0.7,"grey"
"6","Josef, Jalůvka (ODS)","ODS",0.1,1,0.7,"blue"
