"id","name","group","wpca:d1","wpca:d2","r","result","opacity","color"
"1","Daniel, Bělov (KDU-ČSL)","KDU-ČSL","0.598630343068176","0.258352380502933",0.1,1,0.7,"gold"
"10","Jaromír, Kudlík (ANO2011)","ANO2011","0.526213841256605","0.228103776445102",0.1,1,0.7,"cyan"
"11","Pavol, Lambert (ANO2011)","ANO2011","-0.278208295928288","0.846402078699135",0.1,1,0.7,"cyan"
"12","Josef, Novosad (KSČM)","KSČM","-0.31255743130909","-0.496678662248992",0.1,1,0.7,"red"
"13","Stanislav, Pavelec (TOP09)","TOP09","-0.219135157881232","-0.46072350555632",0.1,1,0.7,"black"
"14","Karel, Pavelka (KOV)","KOV","0.269568068689436","-0.127069721811401",0.1,1,0.7,"green"
"15","Tomáš, Pifka (STANV)","STANV","0.764718139935523","0.172178914209621",0.1,1,0.7,"blue"
"16","Libor, Podešva (KDU-ČSL)","KDU-ČSL","0.0247289961406787","0.768830831488254",0.1,1,0.7,"gold"
"17","Dalibor, Sedláček (ČSSD)","ČSSD","-0.743453492238174","0.0558854149461135",0.1,1,0.7,"orange"
"18","Iveta, Táborská (ODS)","ODS","-0.410643769779508","-0.520720032463865",0.1,1,0.7,"blue"
"19","Róbert, Teleky (KDU-ČSL)","KDU-ČSL","0.696431266758172","0.0669680763842943",0.1,1,0.7,"gold"
"2","Michal, Berg (KOV)","KOV","0.0764009332199576","-0.441441811266145",0.1,1,0.7,"green"
"20","Taťána, Valentová Nersesjan (ČSSD)","ČSSD","-0.893191706910167","0.166104839687804",0.1,1,0.7,"orange"
"21","Zdeněk, Vejpustek (KSČM)","KSČM","-0.170368525225078","-0.434972271902259",0.1,1,0.7,"red"
"3","Jiří, Čunek (KDU-ČSL)","KDU-ČSL","0.729366247681049","0.106291285903114",0.1,1,0.7,"gold"
"4","Simona, Hlaváčová (KDU-ČSL)","KDU-ČSL","0.736774511209768","0.0468366481074507",0.1,1,0.7,"gold"
"5","Bohumila, Holeňová (KDU-ČSL)","KDU-ČSL","0.728598615263315","0.0900407884547103",0.1,1,0.7,"gold"
"6","Tomáš, Husa (KOV)","KOV","0.226691911958357","-0.306038711673829",0.1,1,0.7,"green"
"7","Roman, Kalabus (ODS)","ODS","-0.228063053876016","-0.529813914763742",0.1,1,0.7,"blue"
"8","Jiří, Kašpar (ANO2011)","ANO2011","0.752020070851042","0.0972432481265324",0.1,1,0.7,"cyan"
"9","Petr, Kořenek (ČSSD)","ČSSD","-0.853124712183584","0.335201326572479",0.1,1,0.7,"orange"
